trait_domain_name,taxon_name,n_records,mean,median,sd,iqr,n_suspected_outliers
Leaf Area,Aralia nudicaulis,70,279.1911857142857,281.95849999999996,184.619598482876,251.54899999999998,2
Leaf Area,Arbutus andrachne,63,369.9584083031746,233.5284,561.4859141372673,79.46341670000001,7
Leaf Area,Arbutus unedo,263,1038.1085428969836,716.314,1395.939390787437,1051.64720335,22
Leaf Area,Arctium nemorosum,10,74857.31,71763.25,11669.508882120486,17518.125,0
Leaf Area,Arctostaphylos alpinus,28,148.8173668,142.58036,41.001053066252474,61.299353074999985,0
Leaf Area,Arenaria biflora,40,4.8661193,4.661281000000001,1.6332071907612695,2.2499955,1
Leaf Area,Arenaria ciliata,10,53.1991348,49.9302261,18.807821822929238,13.22390455,1
Leaf Area,Arenaria lanuginosa,21,0.36013809523809526,0.3139,0.1301887993499843,0.17829999999999996,1
Leaf Area,Arenaria montana,11,0.8304370129870129,0.455285714285714,1.2647104811339163,0.27103749999999993,1
Leaf Area,Arenaria serpyllifolia,22,7.898681818181818,6.76,3.892641915770777,4.9225,2
Leaf Area,Arisaema triphyllum,25,2604.380644,31.19,11006.921740072281,70.113,2
Leaf Area,Aristida purpurea,12,0.2265,0.2081,0.1054705646140192,0.16954999999999998,0
Leaf Area,Aristolochia clematitis,10,3772.133,3636.165,976.1558021027631,1551,0
Leaf Area,Armeria cantabrica,10,0.5129333333333334,0.522166666666667,0.12943731978485337,0.16458333333333275,0
Leaf Area,Armeria maritima,20,102.72181666666667,60.22875,109.09905202189307,219.69470833333332,0
Leaf Area,Armoracia macrocarpa,10,13091.73,12057.95,4094.152267170553,3976.6749999999993,2
Leaf Area,Arnica latifolia,31,287.993381,4.052698,606.6030466264074,1.7764930000000003,6
Leaf Area,Arrhenatherum elatius,131,1033.391093081408,595.81,1625.4189847223292,1174.241,16
Leaf Area,Artemisia annua,10,648.935,553,468.1081855072489,191.83499999999992,2
